#;NOMBRE;SEGUIDORES;TP;PAÍS;TEMA DE INFLUENCIA;ALCANCE POTENCIAL;GUARDAR;INVITAR A LA CAMPAÑA;Channel_ID;Channel_Name;Subscribers;Total_Views;Total_Videos
1;NoCopyrightSounds @UC_aEa8K-EOJ3D6gOs7HcyNg;32.9M;-;Reino Unido;Música;9.9M;;Ver Perfil;UC_aEa8K-EOJ3D6gOs7HcyNg;NoCopyrightSounds;33700000;11113099671;1659
2;DanTDM @UCS5Oz6CHmeoF7vSad0qqXfw;26.3M;-;Reino Unido;;7.9M;;Ver Perfil;UCS5Oz6CHmeoF7vSad0qqXfw;DanTDM;28700000;19819013829;3706
3;KSI @UCVtFOytbRpEvzLjvqGG5gxQ;24M;-;Reino Unido;;7.2M;;Ver Perfil;UCVtFOytbRpEvzLjvqGG5gxQ;KSI;24100000;6015064768;1252
4;Mister Max @UC_8PAD0Qmi6_gpe77S1Atgg;23M;0.1%;Reino Unido;;6.9M;;Ver Perfil;UC_8PAD0Qmi6_gpe77S1Atgg;Mister Max;24500000;16066397700;1145
5;Jelly @UC0DZmkupLYwc0yDsfocLh0A;22.9M;-;Reino Unido;;6.9M;;Ver Perfil;UC0DZmkupLYwc0yDsfocLh0A;Jelly;23600000;15080638748;6417
6;Miss Katy @UCcartHVtvAUzfajflyeT_Gg;22.6M;-;Reino Unido;;6.8M;;Ver Perfil;UCcartHVtvAUzfajflyeT_Gg;Miss Katy;24600000;15604536284;1088
7;Dua Lipa @UC-J-KZfRV8c13fOCkhXdLiQ;21.1M;-;Reino Unido;;6.3M;;Ver Perfil;UC-J-KZfRV8c13fOCkhXdLiQ;Dua Lipa;23500000;13183103352;270
8;Dan Rhodes @UC6D1L2vxEAg_Vi0JSxMBDgA;17.7M;0.3%;Reino Unido;;5.3M;;Ver Perfil;UC6D1L2vxEAg_Vi0JSxMBDgA;Dan Rhodes;26900000;18774223545;1670
9;Ali-A @UCYVinkwSX7szARULgYpvhLw;17.7M;-;Reino Unido;;5.3M;;Ver Perfil;UCYVinkwSX7szARULgYpvhLw;Ali-A;18900000;6507642417;4348
10;Gaby and Alex @UCHwBjRoGO1V-H8QYXjSVHkQ;17M;-;Reino Unido;;5.1M;;Ver Perfil;UCHwBjRoGO1V-H8QYXjSVHkQ;Gaby and Alex;17200000;8682334893;367
11;Sidemen @sidemen;17M;2.8%;Reino Unido;;5.1M;;Ver Perfil;sidemen;;;;
12;Queen Official @UCiMhD4jzUqG-IgPzUmmytRQ;16.3M;-;Reino Unido;;4.9M;;Ver Perfil;UCiMhD4jzUqG-IgPzUmmytRQ;Queen Official;17700000;11284694804;1178
13;Little Mix @UCIvqWqjC4aLvp7zI8hzARrA;16.1M;-;Reino Unido;;4.8M;;Ver Perfil;UCIvqWqjC4aLvp7zI8hzARrA;Little Mix;16400000;7838466387;278
14;JJ Olatunji @UCGmnsW623G1r-Chmo5RB4Yw;15.9M;-;Reino Unido;;4.8M;;Ver Perfil;UCGmnsW623G1r-Chmo5RB4Yw;JJ Olatunji;16300000;4267165739;1353
15;F2Freestylers - Ultimate Soccer Skills Channel @UCKvn9VBLAiLiYL4FFJHri6g;14M;0.2%;Reino Unido;Celebridad;4.2M;;Ver Perfil;UCKvn9VBLAiLiYL4FFJHri6g;F2Freestylers - Ultimate Soccer Skills Channel;14100000;3349840005;781
16;BBC News @UC16niRr50-MSBwiO3YDb3RA;13.3M;-;Reino Unido;;4M;;Ver Perfil;UC16niRr50-MSBwiO3YDb3RA;BBC News;16100000;5334626346;21764
17;BBC @UCCj956IF62FbT7Gouszaj9w;12.9M;-;Reino Unido;;3.9M;;Ver Perfil;UCCj956IF62FbT7Gouszaj9w;BBC;14200000;10461698783;19288
18;Awakening Music @UCBq5hp6DvwWam2XOXw6lYJA;12.4M;-;संयुक्त अधिराज्य;सङ्गीत;3.7M;;प्रोफ़ाइल देखें;UCBq5hp6DvwWam2XOXw6lYJA;Awakening Music;14100000;5966482220;939
19;DisneyChannelUK @UCLeuoGy_hUDTBf5Hk0ynrpQ;12.3M;-;संयुक्त अधिराज्य;;3.7M;;प्रोफ़ाइल देखें;UCLeuoGy_hUDTBf5Hk0ynrpQ;DisneyChannelUK;13000000;13393471829;4526
20;colinfurze @UCp68_FLety0O-n9QU6phsgw;11.9M;0.6%;संयुक्त अधिराज्य;;3.6M;;प्रोफ़ाइल देखें;UCp68_FLety0O-n9QU6phsgw;colinfurze;13000000;1750528647;397
21;Mrwhosetheboss @UCMiJRAwDNSNzuYeN2uWa0pA;11.8M;1.9%;संयुक्त अधिराज्य;;3.5M;;प्रोफ़ाइल देखें;UCMiJRAwDNSNzuYeN2uWa0pA;Mrwhosetheboss;18700000;5455603347;1693
22;TommyInnit @UC5p_l5ZeB_wGjO_yDXwiqvw;11.7M;-;संयुक्त अधिराज्य;;3.5M;;प्रोफ़ाइल देखें;UC5p_l5ZeB_wGjO_yDXwiqvw;TommyInnit;14800000;2382994910;469
23;Morgz @UCBwSufNse8VMBvQM_rCSvgQ;11.6M;0.1%;संयुक्त अधिराज्य;;3.5M;;प्रोफ़ाइल देखें;UCBwSufNse8VMBvQM_rCSvgQ;Morgz;12700000;3535165335;846
